1,milk,dairy,3.72
2,eggs,meat,2.26
3,bagel,bread,5.28
4,cheese,dairy,2.2
5,toliet paper,other,9.83
6,steak,meat,16.83
7,corn,vegetable,3.96
8,fish,meat,15.22
9,carrot,vegetable,1.92
10,milk chocolate,dairy,2.98
11,banana,fruit,1.39
12,almond,fruit,4.96
13,ice cream,dairy,5.62
14,pizza,bread,10.11
15,tomato,fruit,2.98
16,salad,vegetable,6.42
17,potato,vegetable,0.69
18,baguette,bread,1.98
19,mango,fruit,5.48
20,chicken breast,meat,10.63
21,chicken thigh,meat,6.4
22,donuts,bread,3.98
23,sandwhich,bread,6
24,turkey,meat,5.84
25,eletric tooth brush,other,39.97
26,deodorant,other,4.97
27,dark chocolate,dairy,4.42
28,oil,other,2.98
29,tin foil,other,1.87
30,yogurt,dairy,4.48
31,candle,other,14
32,kiwi,fruit,8.89
33,flour,bread,1.22
