type,city,state
DistributionCenter,Bentonville,AR
SuperCenter,Rogers,AR
SuperCenter,Harrison,AR
SuperCenter,Siloam Springs,AR
Wal-MartStore,North Little Rock,AR
SuperCenter,Morrilton,AR
SuperCenter,Sikeston,MO
SuperCenter,Mountain Home,AR
SuperCenter,Tahlequah,OK
SuperCenter,Claremore,OK
SuperCenter,Carthage,MO
SuperCenter,Lebanon,MO
SuperCenter,Van Buren,AR
SuperCenter,West Plains,MO
SuperCenter,Neosho,MO
Wal-MartStore,Newport,AR
SuperCenter,St. Robert,MO
SuperCenter,Clinton,MO
SuperCenter,Pryor,OK
SuperCenter,Ruston,LA
Wal-MartStore,Leavenworth,KS
SuperCenter,Mexico,MO
SuperCenter,Salem,MO
SuperCenter,Jacksonville,AR
SuperCenter,Miami,OK
SuperCenter,Poteau,OK
Wal-MartStore,Branson,MO
SuperCenter,Nashville,AR
SuperCenter,Jefferson City,MO
SuperCenter,Farmington,MO
SuperCenter,Manhattan,KS
SuperCenter,Dexter,MO
SuperCenter,Nevada,MO
SuperCenter,Paragould,AR
SuperCenter,Moberly,MO
SuperCenter,Idabel,OK
Wal-MartStore,Eldon,MO
Wal-MartStore,Fort Scott,KS
SuperCenter,Conway,AR
SuperCenter,Bartlesville,OK
SuperCenter,Junction City,KS
SuperCenter,Joplin,MO
SuperCenter,Springdale,AR
SuperCenter,Sallisaw,OK
SuperCenter,Hot Springs,AR
SuperCenter,Jonesboro,AR
SuperCenter,Bolivar,MO
SuperCenter,Hugo,OK
Wal-MartStore,Booneville,AR
Wal-MartStore,Walnut Ridge,AR
SuperCenter,Monett,MO
SuperCenter,Warrensburg,MO
SuperCenter,Blytheville,AR
Wal-MartStore,Coffeyville,KS
Wal-MartStore,Brownsville,TN
SuperCenter,Fulton,MO
SuperCenter,Russellville,AR
Wal-MartStore,Columbia,MO
SuperCenter,Stilwell,OK
SuperCenter,Mena,AR
SuperCenter,Sullivan,MO
SuperCenter,Ava,MO
SuperCenter,Clarksville,AR
